iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,policy_loss,value_loss,action_entropy
21,ppo_lognormal,ppo,lognormal,8,-106.98744785754799,14.219695572377182,106.98744785754799,7.115584373474121,8.209672927856445,1.493767261505127,1.9219356775283813,2.886579864025407e-15,-102.92827828587974,102.92827828587974,1.1102230246251565e-15,,,0.0,-0.0017276412857297277,38.10904742422558,2.6226626613310406
22,ppo_lognormal,ppo,lognormal,8,-106.74296747210721,11.384173151151751,106.74296747210721,6.021620273590088,8.142291069030762,1.493767261505127,1.9219356775283813,1.7763568394002505e-15,-102.17098074176408,102.17098074176408,1.5543122344752192e-15,,,0.0,-0.0015452779452538206,37.55645176910219,2.6131795077096847
23,ppo_lognormal,ppo,lognormal,8,-106.62303259584421,13.040103134787945,106.62303259584421,7.942781448364258,8.42836856842041,1.493767261505127,1.9219356775283813,3.1086244689504383e-15,-103.6958040106822,103.6958040106822,8.881784197001252e-16,,,0.0,-0.0006376156511361755,37.2847679796673,2.6061401040781114
24,ppo_lognormal,ppo,lognormal,8,-107.60755936805842,13.925817242434736,107.60755936805842,6.6847991943359375,9.17190170288086,1.493767261505127,1.9219356775283813,2.886579864025407e-15,-104.69683658541365,104.69683658541365,8.881784197001252e-16,,,0.0,0.00043089546601376717,37.99329334781284,2.6002260943253837
25,ppo_lognormal,ppo,lognormal,8,-103.59984950994789,9.57469595871889,103.59984950994789,7.613799095153809,6.853535175323486,1.493767261505127,1.9219356775283813,2.220446049250313e-15,-100.78911639159644,100.78911639159644,8.881784197001252e-16,,,0.0,-0.00042247602583042214,33.69021927742731,2.593155710470109
26,ppo_lognormal,ppo,lognormal,8,-102.05120796121938,9.45151815855038,102.05120796121938,6.968642234802246,6.63787317276001,1.493767261505127,1.9219356775283813,1.7763568394002505e-15,-104.81106461373813,104.81106461373813,8.881784197001252e-16,,,0.0,-0.0008085569743776606,32.59885384922936,2.5842993145897273
27,ppo_lognormal,ppo,lognormal,8,-103.09386436434582,12.010735198943632,103.09386436434582,6.347513198852539,8.012763977050781,1.493767261505127,1.9219356775283813,1.7763568394002505e-15,-101.20582468895728,101.20582468895728,1.1102230246251565e-15,,,0.0,-0.0003157531471169066,33.38767336663746,2.571079591910044
28,ppo_lognormal,ppo,lognormal,8,-101.85760187569034,8.598244632720334,101.85760187569034,7.337271213531494,7.192545413970947,1.493767261505127,1.9219356775283813,1.7763568394002505e-15,-102.85502115293262,102.85502115293262,1.1102230246251565e-15,,,0.0,-0.0014730886434249225,31.943590595608665,2.5621237392936433
29,ppo_lognormal,ppo,lognormal,8,-106.06437077004395,10.063205245473481,106.06437077004395,6.578019142150879,8.723849296569824,1.493767261505127,1.9219356775283813,1.7763568394002505e-15,-104.30146318254015,104.30146318254015,8.881784197001252e-16,,,0.0,0.0005032024290856151,35.2552329812731,2.558020960007395
30,ppo_lognormal,ppo,lognormal,8,-104.40545669623724,12.345958926577294,104.40545669623724,7.542973518371582,7.610753059387207,1.493767261505127,1.9219356775283813,2.220446049250313e-15,-104.70043708227604,104.70043708227604,8.881784197001252e-16,,,0.0,-0.0009672626564722686,33.54232018902188,2.5470376440456937
