iteration,episode,model,scenario_seed,sampled_from_distribution,component,pv_capacity_kwp,battery_capacity_kwh,reward_chf,cost_chf,max_power_balance_error_kw
1,24,ppo_lognormal,65,True,3.0,11.390789031982422,0.5636888742446899,-105.98097906808599,105.98097906808599,8.881784197001252e-16
1,25,ppo_lognormal,66,True,0.0,1.1845238208770752,7.8015875816345215,-199.61812185742824,199.61812185742824,1.7763568394002505e-15
1,26,ppo_lognormal,67,True,2.0,1.7074174880981445,2.7251296043395996,-141.70144762811302,141.70144762811302,8.881784197001252e-16
1,27,ppo_lognormal,68,True,2.0,0.33025017380714417,6.5857954025268555,-176.7114362575424,176.7114362575424,8.881784197001252e-16
1,28,ppo_lognormal,69,True,7.0,8.375924110412598,19.372459411621094,-342.8333416438542,342.8333416438542,2.220446049250313e-15
1,29,ppo_lognormal,70,True,7.0,12.0,11.383089065551758,-210.73995322566083,210.73995322566083,1.3322676295501878e-15
1,30,ppo_lognormal,71,True,5.0,12.0,2.0183894634246826,-127.18098495672714,127.18098495672714,1.3322676295501878e-15
1,31,ppo_lognormal,72,True,0.0,2.650496482849121,3.2627835273742676,-150.85829887405006,150.85829887405006,8.881784197001252e-16
1,32,ppo_lognormal,73,True,4.0,4.063508987426758,20.0,-345.5980253229689,345.5980253229689,2.6645352591003757e-15
2,1,ppo_lognormal,10042,True,3.0,12.0,2.009281635284424,-101.67025362645569,101.67025362645569,8.881784197001252e-16
2,2,ppo_lognormal,10043,True,6.0,5.000179290771484,20.0,-335.4550474610333,335.4550474610333,2.6645352591003757e-15
2,3,ppo_lognormal,10044,True,7.0,5.465483665466309,6.4163970947265625,-159.98819700041875,159.98819700041875,1.3322676295501878e-15
2,4,ppo_lognormal,10045,True,3.0,4.4950785636901855,4.210303783416748,-141.57997729629497,141.57997729629497,8.881784197001252e-16
2,5,ppo_lognormal,10046,True,4.0,12.0,20.0,-283.08360600730833,283.08360600730833,2.6645352591003757e-15
2,6,ppo_lognormal,10047,True,6.0,4.137096881866455,20.0,-349.06013965310154,349.06013965310154,3.552713678800501e-15
2,7,ppo_lognormal,10048,True,4.0,9.665243148803711,20.0,-293.113739058166,293.113739058166,1.7763568394002505e-15
2,8,ppo_lognormal,10049,True,5.0,12.0,2.014370918273926,-115.82722638312416,115.82722638312416,8.881784197001252e-16
2,9,ppo_lognormal,10050,True,3.0,7.275723934173584,6.1982598304748535,-150.78691132201027,150.78691132201027,8.881784197001252e-16
2,10,ppo_lognormal,10051,True,1.0,8.594234466552734,12.427005767822266,-197.3938923525429,197.3938923525429,1.3322676295501878e-15
2,11,ppo_lognormal,10052,True,2.0,11.283459663391113,3.147791862487793,-111.6660132264512,111.6660132264512,1.1102230246251565e-15
2,12,ppo_lognormal,10053,True,3.0,8.443528175354004,0.8319387435913086,-99.20873152998271,99.20873152998271,8.881784197001252e-16
2,13,ppo_lognormal,10054,True,5.0,6.612049102783203,9.884672164916992,-183.64180324422662,183.64180324422662,1.3322676295501878e-15
2,14,ppo_lognormal,10055,True,6.0,3.762477397918701,20.0,-326.6843172907682,326.6843172907682,1.7763568394002505e-15
2,15,ppo_lognormal,10056,True,3.0,12.0,4.163814544677734,-123.15852483797478,123.15852483797478,1.3322676295501878e-15
2,16,ppo_lognormal,10057,True,4.0,5.904681205749512,8.286025047302246,-189.7090439430277,189.7090439430277,1.3322676295501878e-15
