iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,policy_loss,value_loss,action_entropy
43,ppo_gmm,ppo,gaussian,8,-100.76287370549053,10.459879836607005,100.76287370549053,7.029520034790039,6.091129302978516,5.558095932006836,5.14385986328125,8.881784197001252e-16,-100.99902957056858,100.99902957056858,1.1102230246251565e-15,,,0.0,-0.0005262120200010637,27.706745499656314,2.4581101494176045
44,ppo_gmm,ppo,gaussian,8,-105.33910982758188,6.451674347391928,105.33910982758188,6.247228622436523,9.008747100830078,5.558095932006836,5.14385986328125,1.7763568394002505e-15,-101.72815988734189,101.72815988734189,1.1102230246251565e-15,,,0.0,0.0006704919145531243,30.506354070845106,2.4517455193258466
45,ppo_gmm,ppo,gaussian,8,-103.0725786959409,8.893631015886688,103.0725786959409,6.3041582107543945,7.657223701477051,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-103.25564948991399,103.25564948991399,1.1102230246251565e-15,,,0.0,-0.0003588768553787044,29.037180667831784,2.4466278851032257
46,ppo_gmm,ppo,gaussian,8,-102.91040583344805,9.574581093160573,102.91040583344805,6.741487503051758,7.591257095336914,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-101.37462151935173,101.37462151935173,8.881784197001252e-16,,,0.0,0.0005426740944607272,28.556500996862137,2.443813526204654
47,ppo_gmm,ppo,gaussian,8,-104.94154550596826,7.955533885069591,104.94154550596826,6.459753036499023,6.6344499588012695,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-102.8419275733115,102.8419275733115,1.1102230246251565e-15,,,0.0,0.00036873907915183475,29.698269906498137,2.4411107067550932
48,ppo_gmm,ppo,gaussian,8,-105.04649401116798,11.082094626749367,105.04649401116798,5.5011305809021,8.937655448913574,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-103.83296014007433,103.83296014007433,8.881784197001252e-16,,,0.0,0.0006832556959818161,29.839679649897985,2.4379415128912245
49,ppo_gmm,ppo,gaussian,8,-105.90787832845446,7.066812592199094,105.90787832845446,6.65024471282959,9.361809730529785,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-103.39409118269657,103.39409118269657,8.881784197001252e-16,,,0.0,8.674519180896736e-05,29.841786969275702,2.4331291367610297
50,ppo_gmm,ppo,gaussian,8,-102.8003977323887,7.5092530116375675,102.8003977323887,6.6387739181518555,6.844456672668457,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-103.66659649702865,103.66659649702865,8.881784197001252e-16,,,0.0,-0.0009616584533692471,27.363607338496617,2.426528438216164
51,ppo_gmm,ppo,gaussian,8,-101.51538116015473,10.659778601592116,101.51538116015473,6.384587287902832,6.435092926025391,5.558995723724365,5.142960071563721,1.7763568394002505e-15,-105.58817623779817,105.58817623779817,1.1102230246251565e-15,-0.42045867443084717,7.883610725402832,0.0,-0.00038932991724106527,26.565094260942367,2.423928059282757
52,ppo_gmm,ppo,gaussian,8,-107.03391324635525,10.539027172626753,107.03391324635525,6.628617286682129,8.380130767822266,6.361769199371338,13.291475296020508,1.3322676295501878e-15,-105.15368082877067,105.15368082877067,8.881784197001252e-16,-0.31325244903564453,8.15303897857666,0.0,0.00037495768074655817,30.258317425137474,2.420180912528719
53,ppo_gmm,ppo,gaussian,8,-105.83508647244611,9.353677091992738,105.83508647244611,7.467158317565918,9.600614547729492,6.362512111663818,13.29057788848877,1.7763568394002505e-15,-105.63089880544987,105.63089880544987,8.881784197001252e-16,-0.27370303869247437,8.139331817626953,0.0,0.0008848140617677321,29.31297772838956,2.4172219463757108
54,ppo_gmm,ppo,gaussian,8,-103.67793224925852,9.452738255053445,103.67793224925852,6.771940231323242,8.155845642089844,6.362878322601318,13.289691925048828,1.3322676295501878e-15,-102.33929906274764,102.33929906274764,1.1102230246251565e-15,-0.25729310512542725,7.777920722961426,0.0,-0.0002682876712199123,27.421316351209367,2.4127734998861947
55,ppo_gmm,ppo,gaussian,8,-103.47730236409248,6.668819874321581,103.47730236409248,7.563473701477051,7.939918518066406,6.363349914550781,13.288851737976074,1.3322676295501878e-15,-106.06117399658947,106.06117399658947,8.881784197001252e-16,-0.31725966930389404,8.17324447631836,0.0,-0.0003569468251606893,26.993481074060714,2.4074600771779107
56,ppo_gmm,ppo,gaussian,8,-101.51587909725626,8.207294843232368,101.51587909725626,7.57798957824707,7.597228527069092,6.363755702972412,13.288129806518555,1.7763568394002505e-15,-100.05148508207428,100.05148508207428,8.881784197001252e-16,-0.16376984119415283,7.668780326843262,0.0,0.0005178251220578593,25.971414520626976,2.4054006103958403
