iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,actor_loss,critic_loss
21,ddpg_lognormal,ddpg,lognormal,3,-102.56647420627138,8.341509365564095,102.56647420627138,2.5016212463378906,1.7757327556610107,0.4295555353164673,0.4080372154712677,8.881784197001252e-16,-102.83732116674963,102.83732116674963,8.881784197001252e-16,-343.6944885253906,3.3016068935394287,0.0092,25.539899382208077,4.321286975766443
22,ddpg_lognormal,ddpg,lognormal,3,-101.37915013113656,7.667114452959308,101.37915013113656,3.8546481132507324,1.8367042541503906,0.4297793507575989,0.40825560688972473,8.881784197001252e-16,-100.76657677321005,100.76657677321005,1.3322676295501878e-15,-389.1012268066406,3.8289740085601807,0.00916,25.84802973554248,4.298155526126115
23,ddpg_lognormal,ddpg,lognormal,3,-101.71718918748756,9.490148949006338,101.71718918748756,2.930420160293579,1.6352388858795166,0.4301757216453552,0.40857768058776855,1.7763568394002505e-15,-101.3133192909483,101.3133192909483,8.881784197001252e-16,-358.42529296875,3.5070135593414307,0.009120000000000001,26.10870405818735,4.384327913385018
24,ddpg_lognormal,ddpg,lognormal,3,-98.67042915343916,8.161347399257163,98.67042915343916,3.0612900257110596,1.7774635553359985,0.4304248094558716,0.40875497460365295,8.881784197001252e-16,-101.08167750976199,101.08167750976199,8.881784197001252e-16,-359.29736328125,3.6318883895874023,0.009080000000000001,26.1178653371476,4.364517070430641
25,ddpg_lognormal,ddpg,lognormal,3,-101.67483514704294,10.165985715291855,101.67483514704294,3.2962067127227783,2.1899900436401367,0.43058738112449646,0.40897995233535767,1.7763568394002505e-15,-100.06550682204147,100.06550682204147,4.440892098500626e-16,-387.2632141113281,3.749974250793457,0.009040000000000001,26.369392811187677,4.380132340609894
26,ddpg_lognormal,ddpg,lognormal,3,-97.83435888174934,9.494530570036138,97.83435888174934,2.9074132442474365,1.3537031412124634,0.4308095872402191,0.40910398960113525,8.881784197001252e-16,-101.31868393290073,101.31868393290073,4.440892098500626e-16,-319.2852478027344,3.3399388790130615,0.009000000000000001,26.465824354972156,4.399165490115549
27,ddpg_lognormal,ddpg,lognormal,3,-99.7089638331615,8.126502837097075,99.7089638331615,3.3130300045013428,1.5580005645751953,0.430966854095459,0.409214049577713,1.3322676295501878e-15,-100.26281231302966,100.26281231302966,8.881784197001252e-16,-348.5683288574219,3.5042612552642822,0.008960000000000001,25.923025168833277,4.348774300306104
28,ddpg_lognormal,ddpg,lognormal,3,-100.1899583097379,8.461565987587718,100.1899583097379,2.7380318641662598,2.371370553970337,0.4309743642807007,0.409290075302124,8.881784197001252e-16,-102.77614147816954,102.77614147816954,2.220446049250313e-15,-374.77276611328125,3.7829675674438477,0.00892,25.753374591114977,4.315110107445868
29,ddpg_lognormal,ddpg,lognormal,3,-101.94698019005949,11.522705986303244,101.94698019005949,2.4034385681152344,2.956958770751953,0.4309988021850586,0.4094458222389221,1.5543122344752192e-15,-100.72295622978228,100.72295622978228,8.881784197001252e-16,-397.1654052734375,3.8690919876098633,0.00888,25.379742725264457,4.11665519586365
30,ddpg_lognormal,ddpg,lognormal,3,-101.9469728666055,7.943013199917661,101.9469728666055,2.162782669067383,1.9918267726898193,0.4309457540512085,0.40954336524009705,8.881784197001252e-16,-107.50153310052494,107.50153310052494,2.220446049250313e-15,-349.58795166015625,3.4622716903686523,0.00884,25.39991719275713,4.116269243903281
31,ddpg_lognormal,ddpg,lognormal,3,-103.40039709108864,11.651351562127932,103.40039709108864,2.721566915512085,3.7474727630615234,0.43092769384384155,0.40965378284454346,1.3322676295501878e-15,-102.42650975421816,102.42650975421816,2.220446049250313e-15,-454.5572509765625,4.36661958694458,0.0088,24.820055779247056,4.232149157135392
32,ddpg_lognormal,ddpg,lognormal,3,-103.54671160700838,9.906113509676038,103.54671160700838,2.3855948448181152,1.6339082717895508,0.43111637234687805,0.4096378684043884,8.881784197001252e-16,-102.51490372476262,102.51490372476262,8.881784197001252e-16,-346.9789733886719,3.3194081783294678,0.00876,23.99225034032549,3.928858696178178
33,ddpg_lognormal,ddpg,lognormal,3,-101.79866199277336,7.832393743892371,101.79866199277336,2.5844030380249023,2.125732898712158,0.43113571405410767,0.4095636010169983,1.3322676295501878e-15,-102.14801255021403,102.14801255021403,2.4424906541753444e-15,-370.7060546875,3.6450116634368896,0.00872,24.478529010145436,3.928734104553725
34,ddpg_lognormal,ddpg,lognormal,3,-100.07981410975123,8.24845389472676,100.07981410975123,2.4384026527404785,1.661287546157837,0.43116992712020874,0.40954238176345825,8.881784197001252e-16,-101.17560559901345,101.17560559901345,8.881784197001252e-16,-328.2940368652344,3.307947874069214,0.00868,24.886380145947136,4.074630942395223
35,ddpg_lognormal,ddpg,lognormal,3,-102.09751150018974,12.488756619998034,102.09751150018974,2.2465713024139404,2.4175209999084473,0.43105560541152954,0.4095333218574524,1.1102230246251565e-15,-100.89939599450955,100.89939599450955,1.7763568394002505e-15,-367.3690490722656,3.4861021041870117,0.00864,25.356878812114395,4.045530983230233
