iteration,model,distribution,parameter_space,component,active,weight,pv_location,pv_scale,battery_location,battery_scale
9,ddpg_lognormal,lognormal,log,1,True,0.3330700695514679,0.9186140894889832,0.9974761605262756,0.3490833640098572,0.9979094862937927
9,ddpg_lognormal,lognormal,log,2,True,0.3332165479660034,0.1489666998386383,1.0003570318222046,0.08861196041107178,0.9957981109619141
10,ddpg_lognormal,lognormal,log,0,True,0.3337484300136566,0.45542585849761963,0.9992262125015259,0.19967490434646606,0.9964066743850708
10,ddpg_lognormal,lognormal,log,1,True,0.33323419094085693,0.918797492980957,0.9970600605010986,0.3490711748600006,0.9981367588043213
10,ddpg_lognormal,lognormal,log,2,True,0.33301734924316406,0.14954394102096558,1.0003498792648315,0.08899199217557907,0.9955825209617615
11,ddpg_lognormal,lognormal,log,0,True,0.33376044034957886,0.4560508728027344,0.9988183975219727,0.20007109642028809,0.9964215755462646
11,ddpg_lognormal,lognormal,log,1,True,0.33344852924346924,0.9190900325775146,0.9965925216674805,0.3492254912853241,0.9984700083732605
11,ddpg_lognormal,lognormal,log,2,True,0.3327910900115967,0.15021973848342896,1.0002210140228271,0.08946900069713593,0.9954665899276733
12,ddpg_lognormal,lognormal,log,0,True,0.33375537395477295,0.456641286611557,0.9985819458961487,0.20030248165130615,0.996229887008667
12,ddpg_lognormal,lognormal,log,1,True,0.33364933729171753,0.9194467663764954,0.9962917566299438,0.3491816222667694,0.9983298182487488
12,ddpg_lognormal,lognormal,log,2,True,0.33259525895118713,0.15082889795303345,1.0001994371414185,0.08980975300073624,0.9953386187553406
13,ddpg_lognormal,lognormal,log,0,True,0.33378469944000244,0.4571761190891266,0.9982328414916992,0.20043006539344788,0.9962279796600342
13,ddpg_lognormal,lognormal,log,1,True,0.33379730582237244,0.9196277856826782,0.9958376884460449,0.3490917682647705,0.9983363747596741
13,ddpg_lognormal,lognormal,log,2,True,0.3324180245399475,0.15139615535736084,1.0001717805862427,0.09000509232282639,0.9953432679176331
14,ddpg_lognormal,lognormal,log,0,True,0.33378806710243225,0.457754522562027,0.997830331325531,0.2007390558719635,0.9960786700248718
14,ddpg_lognormal,lognormal,log,1,True,0.3339892029762268,0.9198909401893616,0.9954490065574646,0.3492259979248047,0.9982542395591736
14,ddpg_lognormal,lognormal,log,2,True,0.33222272992134094,0.15201281011104584,1.000020146369934,0.09034639596939087,0.9951810836791992
15,ddpg_lognormal,lognormal,log,0,True,0.33372974395751953,0.4583894610404968,0.9976171851158142,0.20115256309509277,0.9959051012992859
15,ddpg_lognormal,lognormal,log,1,True,0.3342417776584625,0.9203246235847473,0.9952335953712463,0.34950488805770874,0.9982289671897888
